ID,Indicateur,Indicateurs_Onglet,Ordre,Type de graphique,Indicateurs_Sous-onglet,Sous-niveau (graphique),Contact source/DG,Sources,Lien données source,Lien site source,Description,Unité,Périmètre,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Source de la cible,Dernière mise à jour,Etat source,Statut recette,MAJ mesuré,Tags objectifs environnementaux,Responsable SGPE,Calcul effectué,Lien cible 2030,Mode de calcul de la cible,MAJ mesuré - commentaires,MAJ cible,MAJ cible - commentaires,Anomalie rencontrée,Arbitrage proposé,Nature arbitrage,Ambition liée,Chantier ou Impact,Levier,ID opendata,2015,2012,Rythme annuel sur trois ans,Présence dans le référentiel,ordre_global,MAJ en PROD,Rythme annuel sur un an,Rythme annuel requis d'ici 2030,IRPE associé,IRPE valide,IRPE ids
b411c553-b48f-42dc-a993-c7dc5775d684,Emissions nationales de gaz à effet de serre (hors secteur UTCATF),Transverse,1,Barres simple,Emissions / Puits,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"L'indicateur représente l'ensemble des émissions de gaz à effet de serre (GES) comptabilisées dans l'inventaire national (hors secteur des terres), qu'elles correspondent à un usage intérieur ou à des exportations; en revanche elles excluent les émissions importées, les émissions du transport international, ainsi que le secteur des terres (et donc le puits carbone). Les chiffres de l'inventaire sont ainsi à distinguer de l'empreinte carbone, qui inclut les émissions importées et exclut les émissions exportées.",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"465,0540972269",mesuré,"445,7579651499",mesuré,"436,0623045597",mesuré,"396,0756062341",mesuré,"419,7563707343",mesuré,"403,4449361629",mesuré,"376,0929853124",mesuré,"369,2044326733",mesuré,"352,1",cible,"334,6333333333",projection,"317,1666666667",projection,"299,7",cible,"283,85",projection,268,cible,SNBC 3 (provisoire),2024-10-08 7:06pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Run 2 SNBC,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible en cours d'ajustement - SNBC,Attention à l'affichage projection vs cible de façon générale,,"Mise à jour de l'historique, maintien des cibles actuelles en attendant le run 3. 2030 uniquement comme cible, le reste en projection (à renommer d'ailleurs?)",,,Synthèse / Atténuation climat,Indicateur d'impact,,,,,true,1,2025-10-13 19:06:00+02:00,-6.8886,-16.8674,,false,
c72f6cc5-e6c7-4ac0-b25f-3770a74dea76,Total émissions nationales CO2 (hors secteur UTCATF),Transverse,2,Barres simple,Emissions / Puits,,,CITEPA,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"L'indicateur représente l'ensemble des émissions de dioxyde de carbone (CO2) comptabilisées dans l'inventaire national, en excluant le secteur des terres. 

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"348,5210629597",mesuré,"333,2001645428",mesuré,"326,6687756674",mesuré,"290,8459220831",mesuré,"316,8381286305",mesuré,"304,8728169648",mesuré,"279,403299523",mesuré,"273,3473311753",mesuré,"265,7",cible,"251,2333333333",projection,"236,7666666667",projection,"222,3",cible,"208,5",projection,"194,7",cible,SNBC 3 (provisoire),2024-10-08 7:06pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Run 2 SNBC,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible en cours d'ajustement - SNBC,,,Idem,,,Synthèse / Atténuation climat,Autres indicateurs,,,,,false,2,2025-10-13 19:06:00+02:00,-6.056,-13.1079,,false,
fd018d5e-bcc3-4b1e-9076-3072eab6e55b,Total émissions nationales CH4 (hors secteur UTCATF) ,Transverse,3,Barres simple,Emissions / Puits,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"L'indicateur représente l'ensemble des émissions de méthane (CH4) comptabilisées dans l'inventaire national, en excluant le secteur des terres.

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"66,8892975435",mesuré,"65,7011701362",mesuré,"65,6557254944",mesuré,"64,1949493903",mesuré,"62,7549800195",mesuré,"61,5610145933",mesuré,"60,7461231631",mesuré,"59,8427838306",mesuré,"55,958",cible,"53,9970666667",projection,"52,0361333333",projection,"50,0752",cible,"49,0896",projection,"48,104",cible,SNBC 3 (provisoire),2024-10-08 7:08pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Run 2 SNBC,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible en cours d'ajustement - SNBC,,,Idem,,,Synthèse / Atténuation climat,Autres indicateurs,,,,,false,3,2025-10-13 19:06:00+02:00,-0.9033,-1.9565,,false,
2a904484-b922-4c16-af20-b75662cd5aa1,Total émissions nationales N2O (hors secteur UTCATF) ,Transverse,4,Barres simple,Emissions / Puits,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"L'indicateur représente l'ensemble des émissions de protoxyde d'azote (N2O) comptabilisées dans l'inventaire national, en excluant le secteur des terres. ",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"31,7869068491",mesuré,"30,7363983172",mesuré,"29,7402056706",mesuré,"28,5993233414",mesuré,"29,0558127814",mesuré,"27,0492428832",mesuré,"26,9412053241",mesuré,"27,0125428275",mesuré,"23,956",cible,"23,5231666667",projection,"23,0903333333",projection,"22,6575",cible,"22,210975",projection,"21,76445",cible,SNBC 3 (provisoire),2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Run 2 SNBC,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible en cours d'ajustement - SNBC,,,"Idem, mais pourquoi pas gaz F aussi? En visualisation, possible d'avoir tout sous le même graphe en décomposant par GES?",,,Synthèse / Atténuation climat,Autres indicateurs,,,,,false,4,2025-10-13 19:06:00+02:00,0.0713,-0.8747,,false,
e1dfdf0a-2ca4-48c2-907a-67756e2c64ff,Puits carbone,Transverse,5,Barres simple,Emissions / Puits,,,"CITEPA (données définitives jusqu'en 2021, le reste provisoire).",https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"Le secteur des terres (souvent référencé 'UTCATF', acronyme de ""Utilisation des terres, changement d'affectation des terres et foresterie"") constitue d'une part une source d'émissions, mais d'autre part  un puits de carbone, en raison de l'absorption par les sols et la biomasse, notamment forestière. L'indicateur représente le solde des absorptions et émissions de GES de ce secteur.
",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"-28,1030613656",mesuré,"-38,1576623496",mesuré,"-35,0238950756",mesuré,"-37,7427153482",mesuré,"-34,9593823493",mesuré,"-33,9704439398",mesuré,"-37,3805506118",mesuré,"-37,4344150951",mesuré,"-17,3927389853",projection,"-15,7618259902",projection,"-14,1309129951",projection,"-12,5",cible,"-15,3",projection,"-18,1",cible,SNBC 3 (provisoire),2024-08-02 3:19pm,Lien seulement,false,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Run 2 SNBC,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible à recalibrer,La projection ne marche plus avec l'ajout du bois mort.,, On peut enlever la cible en complétant les commentaires pour dire que les cibles sont en cours de réévaluation suite à ce changement méthodo.,,,Préserver / Atténuation climat,Indicateur d'impact,,,,,true,5,2024-08-02 15:19:00+02:00,-0.0539,3.2224,,false,
b968cf87-5cb6-4bca-9216-5ed58ff260f6,Emissions de gaz à effet de serre par habitant (hors secteur UTCATF),Transverse,6,Barres simple,Emissions / Puits,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"L'indicateur représente l'ensemble des émissions de gaz à effet de serre comptabilisées dans l'inventaire national, hors UTCATF, rapportées au nombre d'habitants.
",Tonnes équivalent CO2 par habitant,Hexagone et Outre-mer,"6,5302081206",mesuré,"6,0697629503",mesuré,"5,9521856037",mesuré,"5,3014348154",mesuré,"5,6723865455",mesuré,"5,4288094176",mesuré,"4,9606252516",mesuré,,,,,,,,,,,,,,,,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Pas de cible,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Absence de cible,,,Pourquoi on n'a pas ajouté 2024? Le calcul est fait à la main ou on a directement l'info dans le Secten?,,,Synthèse / Atténuation climat,Autres indicateurs,,,,,false,6,2025-10-13 19:06:00+02:00,-0.4682,,,false,
cad5c26c-d210-4346-98be-b8e01e78f1fd,Emissions de gaz à effet de serre par unité de PIB (hors secteur UTCTAF),Transverse,7,Barres simple,Emissions / Puits,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_gaz_a_effet_de_serre.zip,https://www.citepa.org/fr/secten/,"L'indicateur représente l'ensemble des émissions de gaz à effet de serre comptabilisées dans l'inventaire national, hors UTCATF, rapportées à la richesse nationale, mesurée par le PIB. 

",Grammes équivalent-CO2 par euro de richesse produite par an,Hexagone et Outre-mer,"190,2842605876",mesuré,"172,5348600479",mesuré,"164,5815739312",mesuré,"154,8445931761",mesuré,"154,033986875",mesuré,"140,2285959271",mesuré,"127,1532778041",mesuré,,,,,,,,,,,,,,,,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,Pas de cible,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Absence de cible,,,Pourquoi on n'a pas ajouté 2024? Le calcul est fait à la main ou on a directement l'info dans le Secten?,,,Synthèse / Atténuation climat,Autres indicateurs,,,,,false,7,2025-10-13 19:06:00+02:00,-13.0753,,,false,
d089aef5-703e-4961-9c8f-6975957a96f6,Empreinte carbone par habitant,Transverse,8,Barres simple,Empreinte,,,"Traitement SDES des données CITEPA,Eurostat, Insee, Douanes, AIE, FAO. Données provisoires pour 2020 et suivantes.",https://www.statistiques.developpement-durable.gouv.fr/media/7791/download?inline,https://www.statistiques.developpement-durable.gouv.fr/chiffres-cles-du-climat-france-europe-et-monde-edition-2024,"L'empreinte carbone inclut à la fois les émissions du territoire national comptabilisées dans l'inventaire et les émissions ""importées"", c'est-à-dire les émissions induites par notre consommation mais se réalisant en-dehors de nos frontières, mais exclut les émissions ""exportées"" (qui sont pour leur part incluses dans l'inventaire national). L'indicateur représente l'empreinte carbone française moyenne par habitant. Les émissions de CO2 issues de la biomasse sont exclues.",Tonnes équivalent CO2 par habitant et par an,Hexagone et outre-mer appartenant à l'UE,"10,6",mesuré,"10,5",mesuré,"10,3",mesuré,"9,2",mesuré,"9,8",mesuré,"9,9",mesuré,"9,4",mesuré,,,,,,,,,,,,,"7,06",cible,SNBC 3 (provisoire),2024-08-02 3:19pm,Fichier et lien,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,"Limiter notre empreinte carbone à une fourchette comprise respectivement entre 462 et 506 Mt CO2e en 2030 et entre 160 et 215 Mt en 2050 (entre 2,3 t CO2e/hab et 3,1 t CO2e/hab)
Pour 2030 : milieu de la fourchette (484 Mt) rapporté aux prévisions de l'INSEE (68,6 M hab en 2030","Reprise de la série du SDES 2024, dont les données historiques ont été revues par rapport au données de 2023. Les valeurs pour 2022 et 2023 sont dites ""provisoires"" par le SDES.",Absence de cible,,,,,,Synthèse / Atténuation climat,Indicateur d'impact,,,,,true,8,2025-10-13 19:06:00+02:00,-0.5,-0.3343,,false,
6db624da-3e96-4c37-9958-4b3971083847,Empreinte carbone nationale,Transverse,9,Barres empilées,Empreinte,Emissions intérieures,,SDES,https://www.statistiques.developpement-durable.gouv.fr/media/7791/download?inline,https://www.statistiques.developpement-durable.gouv.fr/chiffres-cles-du-climat-france-europe-et-monde-edition-2024,"L'empreinte carbone nationale inclut à la fois les émissions du territoire national, et les émissions ""importées"", c'est-à-dire les émissions induites par notre consommation mais se réalisant en-dehors de nos frontières. L'indicateur représente - pour les 3 principaux gaz à effet de serre (CO2, CH4 et N2O) - d’une part les émissions directes des ménages ajoutées à celles de la production intérieure, hors exportations, et d’autre part les émissions associées aux importations pour un usage final ou pour une consommation intermédiaire.",Millions de tonnes équivalent CO2,Hexagone et outre-mer appartenant à l'UE,"347,5198605813",mesuré,"332,8088115024",mesuré,"324,2163442784",mesuré,"292,7548856281",mesuré,"302,7366696745",mesuré,"287,9324579567",mesuré,"281,6156498007",mesuré,,,,,,,,,,,,,,,SNBC 3 (provisoire),2024-08-01 9:37am,Fichier et lien,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,"""fourchette comprise respectivement entre 462 et 506 Mt CO2e"" => milieu de la fourchette = 484","Reprise de la série du SDES 2024, dont les données historiques ont été revues par rapport au données de 2023. Les valeurs pour 2022 et 2023 sont dites ""provisoires"" par le SDES.",Absence de cible,On aura une cible à terme avec la SNBC3.,,Conserver cet indicateur ou l'empreinte par habitant ou les deux ?,Remplacer l'indicateur,,Synthèse / Atténuation climat,Indicateur d'impact,,,,,false,9,2025-10-13 19:06:00+02:00,-6.3168,,,false,
3d7186d0-0c44-4528-b80e-300ce822143b,Empreinte carbone nationale,Transverse,9,Barres empilées,Empreinte,Emissions importées,,SDES,https://www.statistiques.developpement-durable.gouv.fr/media/7791/download?inline,https://www.statistiques.developpement-durable.gouv.fr/chiffres-cles-du-climat-france-europe-et-monde-edition-2024,,,Hexagone et outre-mer appartenant à l'UE,"358,1681180111",mesuré,"371,5762469097",mesuré,"367,2587958158",mesuré,"327,1972993584",mesuré,"363,0876997514",mesuré,"383,0024741596",mesuré,"361,9937951316",mesuré,,,,,,,,,,,,,,,,2024-08-01 9:37am,Fichier et lien,true,"Mise à jour rétrospective, Ajout de nouvelles données",Atténuation,Joseph Hajjar,,,,"Reprise de la série du SDES 2024, dont les données historiques ont été revues par rapport au données de 2023. Les valeurs pour 2022 et 2023 sont dites ""provisoires"" par le SDES.",Absence de cible,,,,,,Synthèse / Atténuation climat,Indicateur d'impact,,,,,false,10,2025-10-13 19:06:00+02:00,-21.0087,,,false,
f06b6e72-7d4d-4643-a6c3-e8976a37f9cb,Abondance des oiseaux communs spécialistes,Transverse,10,Courbes indépendantes,Biodiversité,Milieu agricole,,INSEE,https://www.insee.fr/fr/statistiques/series/112963796?qserie=oiseaux,https://www.insee.fr/fr/statistiques/series/112963796?qserie=oiseaux,"L'évolution de l'abondance des espèces d'oiseaux spécialistes, plus facilement affectées par les changements de leur environnement que les espèces généralistes, reflète la perturbation qualitative ou quantitative des habitats. L'indicateur (""STOC"") représente l'évolution de l'abondance des oiseaux spécialistes inféodés à un habitat particulier (milieux agricoles, forestiers, bâtis) par rapport à des milieux agricoles, forestiers et bâtis, par rapport à 1989, date à laquelle a été initié le programme STOC-EPS.

",Indice base 100 en 1989,Hexagone,47,mesuré,46,mesuré,46,mesuré,49,mesuré,51,mesuré,46,mesuré,40,mesuré,,,,,,,,,,,,,,,Stratégie nationale biodiversité 2030,2024-08-01 3:04pm,Lien seulement,true,"Ajout de nouvelles données, Mise à jour rétrospective",Biodiversité,Maxence Clément,,,"Atteindre une augmentation de 10% d’ici 2030 (avec un t0 en 2024) de l’indice des oiseaux communs des milieux agricoles => valeur 2024 x 1,1","Remplacement de la série historique par la série INSEE, jusqu'en 2023
MC : Pas de point plus récent",Absence de cible,,,,,,Synthèse / Biodiversité,Indicateur d'impact,,,,,true,11,2025-10-13 19:06:00+02:00,-6,,,false,
928f9b35-ce46-4688-95ae-c9c5a5e2143e,Abondance des oiseaux communs spécialistes,Transverse,10,Courbes indépendantes,Biodiversité,Milieu bâti,,INSEE,https://www.insee.fr/fr/statistiques/series/112963796?qserie=oiseaux,https://naturefrance.fr/indicateurs/evolution-des-populations-doiseaux-communs-specialistes,,,,65,mesuré,55,mesuré,57,mesuré,54,mesuré,51,mesuré,48,mesuré,50,mesuré,,,,,,,,,,,,,,,,2024-08-01 3:04pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Biodiversité,Maxence Clément,,,,"Remplacement de la série historique par la série INSEE, jusqu'en 2023
MC :Pas de point plus récent",Absence de cible,,,,,,Synthèse / Biodiversité,Indicateur d'impact,,,,,true,12,2025-10-13 19:06:00+02:00,2,,,false,
2dc0e42f-8e16-415d-be02-4ebef606565d,Abondance des oiseaux communs spécialistes,Transverse,10,Courbes indépendantes,Biodiversité,Milieu forestier,,INSEE,https://www.insee.fr/fr/statistiques/series/112963796?qserie=oiseaux,https://naturefrance.fr/indicateurs/evolution-des-populations-doiseaux-communs-specialistes,,,,94,mesuré,88,mesuré,86,mesuré,85,mesuré,85,mesuré,81,mesuré,85,mesuré,,,,,,,,,,,,,,,,2024-08-01 3:04pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Biodiversité,Maxence Clément,,,,"Remplacement de la série historique par la série INSEE, jusqu'en 2023
MC : Pas de point plus récent",Absence de cible,,,,,,Synthèse / Biodiversité,Indicateur d'impact,,,,,true,13,2025-10-13 19:06:00+02:00,4,,,false,
eb08e12d-59ee-41f3-991d-07cdcaf587e6,Part du territoire hexagonal exposé à un niveau élevé de pollution lumineuse,Transverse,11,Barres simple,Pollution,,COULMIN Anthony - CGDD/SDES/SDIE/BEM <anthony.coulmin@developpement-durable.gouv.fr>,SDES,,,"Outre le fait qu'elle représente un gâchis d'énergie, la pollution lumineuse est une source de perturbations pour la biodiversité et la santé humaine. L'indicateur représente la part du territoire métropolitain exposé à une pollution lumineuse jugée élevée la nuit (mesurée en cœur de nuit, par temps clair et sans lune en 2020 et dépassant une échelle de luminance zénithale de 19,5 mag/arsec2).
",Pourcents,Hexagone,,,,,,,85,mesuré,"84,6",mesuré,"82,4",mesuré,"71,6",mesuré,,,,,,,,,,,,,"42,5",cible,Stratégie nationale biodiversité 2030,2024-08-02 3:19pm,Personne contact indiquée,true,"Mise à jour rétrospective, Ajout de nouvelles données","Santé, Biodiversité",Maxence Clément,,,Objectif SNB de diviser par 2 d'ici 2030 par rapport à 2020 (?),"Suite à l'attaque du portail Nature France, utilisation des données du SDES, transmises par le contact source. Publication sur le site du SDES à venir.
MC : Reboucler avec SDES",Cible mise à jour,"L'objectif est de diviser par deux la pollution lumineuse. On part de 85%, ce n'est donc pas 50% en 2030 mais 42,5%",,,,,"""Préserver / Réduire les autres pressions sur la biodiversité (pollution lumineuse, EEE)""","Lutte contre la pollution lumineuse, Indicateur de chantier",,,,,true,14,2025-10-13 19:06:00+02:00,-10.8,-4.1571,Proportion du territoire impacté par la pollution lumineuse,false,242
93843661-0511-4e40-a837-810ba4cc4be3,Emissions de NOx totales,Transverse,12,Barres simple,Pollution,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_polluants.zip,https://www.citepa.org/fr/secten/,"Les oxydes d'azote (NO et NO2 essentiellement) constituent des polluant atmosphérique aux effets délétères sur la santé (problèmes respiratoires) et l'environnement (ozone, eutrophisation, pluies acides, particules fines). L'indicateur représente les émissions totales de NOx du territoire. La cible est celle du Plan national de réduction des émissions de polluants atmosphériques. La trajectoire linéaire d'atteinte de la cible est montrée à titre indicatif.",Kilotonnes par an,Hexagone ,"939,4424387725",mesuré,"883,6781558077",mesuré,"825,0613663746",mesuré,"720,1032161048",mesuré,"753,4100463971",mesuré,"712,5625054458",mesuré,"653,898110306",mesuré,"633,7427150404",mesuré,"607,973642084",projection,"586,2708277046",projection,"564,5680133252",projection,"542,8651989458",projection,"521,1623845664",projection,"499,459570187",cible,Plan national de réduction des émissions de polluants atmosphériques 2022-2025,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données","Santé, Biodiversité",DP santé,,,PREPA: -69% en 2030 vs 2005 (tous secteurs),"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible OK,,,,,,Synthèse / Pollution,Indicateur d'impact,,,,,true,15,2025-10-13 19:06:00+02:00,-20.1554,-22.3805,,false,
744be20b-efae-4383-b8ce-d8859ea94375,Emissions de SO2 totales,Transverse,13,Barres simple,Pollution,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_polluants.zip,https://www.citepa.org/fr/secten/,"Le dioxyde de soufre est un polluant atmosphérique aux effets délétères sur la santé (problèmes respiratoires) et l'environnement (notamment par la formation de pluies acides). Il peut être noté que les émissions depuis 2019 sont d’ores et déjà descendues sous le seuil prévu comme objectif à horizon 2030 dans le cadre du Plan national de réduction des émissions de polluants atmosphériques (cible seuil 2030 déjà atteinte, que nous affichons donc à titre indicatif et sans trajectoire).",Kilotonnes par an,Hexagone ,"128,0705678503",mesuré,"122,2829392135",mesuré,"100,1638964453",mesuré,"86,090110751",mesuré,"92,9909185016",mesuré,"84,6637380278",mesuré,"78,291017317",mesuré,"79,5293765045",mesuré,,,,,,,,,,,"105,2",cible,Plan national de réduction des émissions de polluants atmosphériques 2022-2025,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données","Santé, Biodiversité",DP santé,,,PREPA: -77% en 2030 vs 2005 (tous secteurs) : cible déjà atteinte dès 2020!,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible OK,,,,,,Synthèse / Pollution,Indicateur d'impact,,,,,true,16,2025-10-13 19:06:00+02:00,1.2384,4.2784,,false,
7b8606aa-b837-4c4f-b6de-3424647bfcfd,"Emissions de PM2,5 totales",Transverse,14,Barres simple,Pollution,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_polluants.zip,https://www.citepa.org/fr/secten/,"Les particules fines dégradent la qualité de l'air et nuisent notamment à la santé humaine. L'indicateur représente les émissions totales de particules dans l'air d'un diamètre inférieur ou égal à 2,5 microns (PM2,5). La cible est celle du Plan national de réduction des émissions de polluants atmosphériques. La trajectoire linéaire d'atteinte de la cible est montrée à titre indicatif.

",Kilotonnes par an,Hexagone ,"227,7294389383",mesuré,"214,4808096124",mesuré,"209,3220688301",mesuré,"178,7202207892",mesuré,"195,9187000703",mesuré,"171,1883748322",mesuré,"160,2427726045",mesuré,"158,3359572238",mesuré,"161,7569724077",projection,"158,8230408058",projection,"155,8891092039",projection,"152,9551776021",projection,"150,0212460002",projection,"147,0873143983",cible,Plan national de réduction des émissions de polluants atmosphériques 2022-2025,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données",Santé,DP santé,,,PREPA: -57% en 2030 vs 2005 (tous secteurs),"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible OK,,,,,,Synthèse / Pollution,Indicateur d'impact,,,,,true,17,2025-10-13 19:06:00+02:00,-1.9068,-1.8748,,false,
db7ccd05-9874-4ff9-934d-2f254f497b90,Emissions de NH3 totales,Transverse,15,Barres simple,Pollution,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_polluants.zip,https://www.citepa.org/fr/secten/,"L'ammoniac (NH3) est non seulement toxique pour la santé humaine mais son dépôt excessif en milieu naturel peut également conduire à l'acidification et à l'eutrophisation des milieux, et il peut se recombiner dans l'atmosphère avec d'autres oxydes pour former des particules. Il peut être noté que les émissions depuis 2019 sont d’ores et déjà descendues sous le seuil prévu comme objectif à horizon 2030 dans le cadre du Plan national de réduction des émissions de polluants atmosphériques (cible seuil 2030 déjà atteinte, que nous affichons donc à titre indicatif et sans trajectoire).
",Kilotonnes par an,Hexagone,"636,8099073745",mesuré,"634,9904657649",mesuré,"611,7177186493",mesuré,"588,6309813097",mesuré,"572,9651884152",mesuré,"550,2318128834",mesuré,"547,4047941762",mesuré,"551,6950546441",mesuré,,,,,,,,,,,"530,1677668696",cible,Plan national de réduction des émissions de polluants atmosphériques 2022-2025,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données","Ressources, Santé, Biodiversité",DP santé,,,PREPA (-13% en 2030 vs 2005): cible déjà atteinte en 2022,"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible OK,,,,,,Synthèse / Pollution,Indicateur d'impact,,,,,true,18,2025-10-13 19:06:00+02:00,4.2903,-3.5879,,false,
2bfac09d-ef00-4623-b3dc-6b11340abb5b,Emissions totales des Composés Organiques Volatils Non Méthaniques (COVNM) ,Transverse,16,Barres simple,Pollution,,,CITEPA ,https://www.citepa.org/wp-content/uploads/2025/06/Citepa2025_polluants.zip,https://www.citepa.org/fr/secten/,Les COVNM (Composés Organiques Volatils Non Méthaniques) dégradent la qualité de l'air et nuisent notamment à la santé humaine. L'indicateur représente les émissions totales de COVNM dans l'air. La cible est celle du Plan national de réduction des émissions de polluants atmosphériques. La trajectoire linéaire d'atteinte de la cible est montrée à titre indicatif.,Kilotonnes par an,Hexagone,"1234,7215461211",mesuré,"1193,3404052443",mesuré,"1160,0147102367",mesuré,"1114,7616079404",mesuré,"1088,7319547609",mesuré,"1098,8791714568",mesuré,"1045,5307228727",mesuré,"1056,0080374241",mesuré,"990,1815569553",projection,"964,3224581871",projection,"938,463359419",projection,"912,6042606509",projection,"886,7451618828",projection,"860,8860631146",cible,Plan national de réduction des émissions de polluants atmosphériques 2022-2025,2024-08-02 3:19pm,Lien seulement,true,"Mise à jour rétrospective, Ajout de nouvelles données","Santé, Biodiversité",DP santé,,,PREPA: -52% en 2030 vs 2005 (tous secteurs),"Reprise de la série de données du Secten 2025, dont les données historiques ont été revues par rapport au Secten 2024.",Cible OK,,,,,,Synthèse / Pollution,Indicateur d'impact,,,,,true,19,2025-10-13 19:06:00+02:00,10.4773,-32.5203,,false,
